Unnamed,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
FCN,FantomCoin ,CryptoNight,PoW,0.0,18400000.0
CESC,Crypto Escudo,Scrypt,PoW,780210700.0,1000000000.0
ADC,AudioCoin,Scrypt,PoW/PoS,980732528.97974,10500000000.0
NKA,IncaKoin,SHA-256,PoW/PoS,17939725045.334,190000000.0
PIGGY,Piggy Coin,X11,PoW/PoS,494240666.028571,1000000000.0
CRW,Crown Coin,SHA-256,PoW,22986929.0854247,42000000.0
GEN,Genstake,Scrypt,PoW/PoS,60000000.0,15000000.0
QCN,Quazar Coin,CryptoNight,PoW,0.0,18446744.0
SMLY,SmileyCoin,Scrypt,PoW,29583989322.9213,50000000000.0
PKB,ParkByte,SHA-256,PoW/PoS,0.0,25000000.0
MI,XiaoMiCoin,Scrypt,PoW/PoS,404316475.545465,400000000.0
GRS,Groestlcoin,Groestl,PoW,73298203.8873662,105000000.0
CPC,CapriCoin,X11,PoW/PoS,201364327.427503,208000000.0
CLUB, ClubCoin,Scrypt,PoW/PoS,103621876.167052,160000000.0
RADS,Radium,PoS,PoS,3821245.74150193,9000000.0
BTA,Bata,Scrypt,PoW,5052555.91981545,5000000.0
PAK,Pakcoin,Scrypt,PoW,69684455.4387001,182000000.0
CRB,Creditbit ,X11,Proof of Trust,16901016.6609755,16504333.0
OK,OKCash,SHA-256,PoW/PoS,74676064.9488608,105000000.0
LSK,Lisk,DPoS,DPoS,120012140.0,159918400.0
XHI,HiCoin,Scrypt,PoS,10000244677.7002,10008835635.0
XWC,WhiteCoin,Scrypt,PoW/PoS,252005564.19257003,300000000.0
DOT,Dotcoin,Scrypt,PoW,0.0,890000000.0
FSC,FriendshipCoin,NeoScrypt,PoW/PoS,1120385.00502,60168145.0
THC,The Hempcoin,Scrypt,PoW/PoS,0.0,300000000.0
FIII,Fiii,SHA3-256,DPoC,-5917977547.96773,5000000000.0
J,JoinCoin,Multiple,PoW,3332922.5,2800000.0
TRI,Triangles Coin,X13,PoW/PoS,140777.753365,120000.0
VOLLAR,Vollar,Equihash+Scrypt,PoW,100000000.0,2100000000.0
EOS,EOS,DPoS,DPoS,1020544523.0722,0.0
RCC,Reality Clash,Ethash,PoW,24487944.095820397,24487944.0
OXY,Oxycoin,DPoS,DPoS,1122382283.37,0.0
ILT,iOlite,Ethash,PoW,0.0,1000000000.0
TCH,TigerCash,SHA-256,PoS,1000000000.0,1000000000.0
WAVES,Waves,Leased POS,LPoS,100000000.0,100000000.0
PART,Particl,PoS,PoS,9283137.5558676,8634140.0
BTT,BitTorrent,TRC10,DPoS,989988713439.649,990000000000.0
NXT,Nxt,PoS,PoS/LPoS,1000000000.0,1000000000.0
ZEPH,ZEPHYR,SHA-256,DPoS,1999999995.3056,2000000000.0
GAP,Gapcoin,Scrypt,PoW/PoS,14931046.1546605,250000000.0
BDX,Beldex,CryptoNight,PoW,980222595.0,1400222610.0
ZEN,Horizen,Equihash,PoW,7296537.5,21000000.0
XBC,BitcoinPlus,Scrypt,PoS,128326.99633965,1000000.0
